Schema,Name,Result data type,Argument data types,Type,Volatility,Parallel,Owner,Security,Access privileges,Language,Source code,Description
pg_catalog,abbrev,text,cidr,func,immutable,safe,postgres,invoker,,internal,cidr_abbrev,abbreviated display of cidr value
pg_catalog,abbrev,text,inet,func,immutable,safe,postgres,invoker,,internal,inet_abbrev,abbreviated display of inet value
pg_catalog,abs,bigint,bigint,func,immutable,safe,postgres,invoker,,internal,int8abs,absolute value
pg_catalog,abs,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,float8abs,absolute value
pg_catalog,abs,integer,integer,func,immutable,safe,postgres,invoker,,internal,int4abs,absolute value
pg_catalog,abs,numeric,numeric,func,immutable,safe,postgres,invoker,,internal,numeric_abs,absolute value
pg_catalog,abs,real,real,func,immutable,safe,postgres,invoker,,internal,float4abs,absolute value
pg_catalog,abs,smallint,smallint,func,immutable,safe,postgres,invoker,,internal,int2abs,absolute value
pg_catalog,aclcontains,boolean,"aclitem[], aclitem",func,immutable,safe,postgres,invoker,,internal,aclcontains,contains
pg_catalog,acldefault,aclitem[],"""char"", oid",func,immutable,safe,postgres,invoker,,internal,acldefault_sql,"show hardwired default privileges, primarily for use by the information schema"
pg_catalog,aclexplode,SETOF record,"acl aclitem[], OUT grantor oid, OUT grantee oid, OUT privilege_type text, OUT is_grantable boolean",func,stable,safe,postgres,invoker,,internal,aclexplode,"convert ACL item array to table, primarily for use by information schema"
pg_catalog,aclinsert,aclitem[],"aclitem[], aclitem",func,immutable,safe,postgres,invoker,,internal,aclinsert,add/update ACL item
pg_catalog,aclitemeq,boolean,"aclitem, aclitem",func,immutable,safe,postgres,invoker,,internal,aclitem_eq,implementation of = operator
pg_catalog,aclitemin,aclitem,cstring,func,stable,safe,postgres,invoker,,internal,aclitemin,I/O
pg_catalog,aclitemout,cstring,aclitem,func,stable,safe,postgres,invoker,,internal,aclitemout,I/O
pg_catalog,aclremove,aclitem[],"aclitem[], aclitem",func,immutable,safe,postgres,invoker,,internal,aclremove,remove ACL item
pg_catalog,acos,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,dacos,arccosine
pg_catalog,acosd,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,dacosd,"arccosine, degrees"
pg_catalog,acosh,double precision,double precision,func,immutable,safe,postgres,invoker,,internal,dacosh,inverse hyperbolic cosine
